ID_Produto,Nome,Categoria,Preco
1,Nihil,Hortifruti,84.07
2,Repellendus,Congelados,83.4
3,Dolores,Laticínios,45.21
4,Error,Hortifruti,68.1
5,Perferendis,Congelados,115.12
6,Autem,Laticínios,149.17
7,Ea,Congelados,34.65
8,Reiciendis,Hortifruti,78.68
9,Nulla,Hortifruti,67.74
10,Impedit,Hortifruti,66.9
11,Consectetur,Laticínios,120.19
12,Sint,Laticínios,131.49
13,Officiis,Laticínios,115.86
14,Odit,Carnes,64.02
15,Aliquid,Congelados,95.17
16,Quia,Hortifruti,137.56
17,Fugit,Congelados,97.28
18,Non,Laticínios,146.5
19,Voluptatem,Laticínios,59.62
20,Quod,Laticínios,61.06
21,Saepe,Carnes,114.34
22,Libero,Laticínios,95.28
23,Inventore,Hortifruti,93.54
24,Voluptate,Carnes,67.3
25,Temporibus,Congelados,131.59
26,Harum,Congelados,136.99
27,At,Hortifruti,39.19
28,Corporis,Carnes,109.32
29,Necessitatibus,Hortifruti,79.19
30,Voluptas,Hortifruti,126.55
31,Aperiam,Carnes,82.8
32,Rem,Laticínios,67.83
33,A,Congelados,40.74
34,Vel,Laticínios,49.18
35,Fugit,Laticínios,17.22
36,Incidunt,Carnes,25.22
37,Nobis,Congelados,130.82
38,Tempore,Congelados,102.02
39,Ad,Carnes,78.07
40,Ex,Carnes,84.17
41,Consectetur,Laticínios,122.19
42,Eum,Laticínios,43.7
43,Nesciunt,Carnes,135.0
44,Placeat,Congelados,74.67
45,In,Congelados,59.26
46,Fugit,Hortifruti,121.36
47,Sapiente,Laticínios,109.19
48,Praesentium,Carnes,97.96
49,Eum,Laticínios,122.61
50,Et,Congelados,106.02
