ID_Venda,ID_Cliente,ID_Produto,Data_Venda,Status_Entrega,Custo_Frete
1,70,44,2026-02-04,Atrasado,16.67
2,57,21,2026-01-23,Atrasado,60.79
3,73,35,2026-01-25,Entregue,67.07
4,54,3,2026-01-20,Atrasado,70.53
5,100,27,2025-08-22,Atrasado,30.49
6,73,28,2025-05-16,Entregue,59.71
7,21,8,2025-10-04,Entregue,16.0
8,44,38,2026-01-10,Entregue,41.38
9,1,12,2026-02-23,Entregue,61.27
10,87,42,2025-10-15,Entregue,68.47
11,86,32,2026-01-07,Atrasado,46.19
12,4,32,2025-05-07,Entregue,25.94
13,73,15,2025-12-23,Entregue,61.61
14,23,37,2025-07-28,Entregue,55.75
15,75,2,2026-04-02,Entregue,56.53
16,20,45,2025-05-19,Entregue,62.23
17,82,17,2025-08-07,Entregue,46.08
18,54,23,2025-04-29,Cancelado,63.33
19,94,37,2025-12-06,Entregue,34.88
20,90,47,2026-01-06,Atrasado,32.15
21,2,33,2025-12-29,Entregue,48.22
22,61,16,2026-01-16,Entregue,67.55
23,69,43,2025-09-30,Entregue,77.29
24,45,26,2025-04-29,Entregue,71.3
25,12,30,2026-02-17,Entregue,21.73
26,13,10,2026-02-01,Entregue,36.75
27,34,32,2025-07-07,Cancelado,69.13
28,76,48,2025-12-04,Atrasado,40.22
29,86,29,2025-10-20,Entregue,78.18
30,53,23,2025-06-09,Atrasado,55.72
31,46,15,2025-09-04,Entregue,27.34
32,66,50,2026-01-25,Atrasado,69.94
33,18,26,2026-01-22,Entregue,74.7
34,29,43,2026-04-04,Cancelado,27.59
35,30,40,2025-07-08,Entregue,63.09
36,74,15,2026-04-09,Entregue,37.14
37,20,43,2025-08-15,Atrasado,45.84
38,49,19,2026-01-31,Entregue,27.04
39,88,24,2025-11-04,Entregue,56.96
40,93,19,2026-01-03,Entregue,45.0
41,37,49,2026-04-04,Entregue,15.59
42,84,18,2026-02-07,Entregue,37.31
43,2,5,2025-09-09,Entregue,18.94
44,65,28,2025-08-17,Entregue,42.33
45,80,42,2025-06-21,Entregue,65.77
46,44,5,2026-03-12,Entregue,18.63
47,2,46,2025-06-28,Entregue,38.99
48,94,22,2025-05-27,Cancelado,40.16
49,85,16,2025-09-26,Entregue,27.53
50,98,6,2025-12-09,Entregue,59.38
51,84,30,2026-03-12,Entregue,30.63
52,61,32,2026-04-22,Entregue,51.54
53,9,41,2025-06-08,Entregue,52.47
54,63,35,2026-02-28,Atrasado,62.58
55,68,36,2025-08-13,Entregue,74.34
56,55,22,2025-07-28,Entregue,23.63
57,87,8,2025-11-22,Atrasado,43.14
58,41,40,2025-08-17,Cancelado,16.84
59,47,4,2025-09-24,Atrasado,57.66
60,34,25,2025-05-15,Entregue,33.44
61,96,31,2025-10-03,Entregue,24.8
62,100,3,2025-06-28,Entregue,39.55
63,4,32,2025-06-21,Atrasado,22.07
64,30,9,2025-05-30,Cancelado,29.64
65,68,15,2025-05-27,Atrasado,58.52
66,9,21,2026-03-13,Entregue,72.98
67,49,13,2025-10-12,Entregue,18.11
68,94,19,2025-12-02,Entregue,39.76
69,82,39,2026-01-10,Cancelado,46.06
70,69,31,2026-03-23,Entregue,21.54
71,10,31,2025-07-24,Entregue,61.52
72,63,35,2025-11-28,Entregue,35.32
73,75,47,2026-01-22,Entregue,60.66
74,73,11,2025-08-23,Entregue,39.24
75,99,7,2026-04-27,Atrasado,54.95
76,1,2,2025-08-17,Cancelado,38.49
77,89,32,2026-03-17,Entregue,19.53
78,78,47,2025-10-08,Atrasado,45.09
79,87,46,2025-11-17,Entregue,64.21
80,52,23,2026-02-03,Entregue,41.03
81,20,45,2025-10-12,Entregue,45.19
82,82,17,2025-07-10,Entregue,20.65
83,9,28,2026-01-17,Atrasado,33.04
84,70,34,2025-06-02,Entregue,63.95
85,65,6,2025-09-02,Atrasado,28.14
86,36,26,2025-10-29,Entregue,37.54
87,97,21,2025-10-20,Entregue,72.94
88,49,45,2025-07-04,Cancelado,35.37
89,76,5,2025-12-03,Atrasado,60.45
90,16,25,2025-11-18,Entregue,41.63
91,77,41,2026-04-17,Atrasado,34.67
92,41,30,2025-10-12,Entregue,76.73
93,7,47,2025-07-23,Entregue,78.17
94,82,24,2025-08-08,Entregue,26.04
95,33,41,2025-12-16,Atrasado,56.44
96,100,9,2026-01-08,Entregue,19.88
97,20,43,2025-12-09,Entregue,26.07
98,58,39,2026-02-23,Entregue,62.32
99,74,2,2026-04-14,Entregue,76.91
100,66,9,2026-03-14,Entregue,17.75
101,71,38,2025-12-12,Entregue,46.37
102,99,27,2025-05-30,Entregue,65.91
103,97,25,2026-02-27,Entregue,68.84
104,94,34,2025-07-17,Entregue,62.96
105,24,25,2025-05-12,Entregue,28.88
106,17,25,2026-01-11,Entregue,33.16
107,2,19,2025-05-24,Entregue,77.36
108,75,33,2025-06-28,Entregue,56.94
109,60,5,2025-12-11,Entregue,44.98
110,6,9,2025-07-13,Cancelado,50.76
111,88,38,2025-10-10,Entregue,68.09
112,24,50,2025-07-21,Entregue,78.13
113,88,40,2025-05-14,Entregue,15.26
114,77,30,2026-04-19,Atrasado,48.13
115,22,46,2025-08-25,Entregue,37.25
116,72,48,2025-09-17,Atrasado,63.78
117,60,18,2025-08-28,Entregue,36.93
118,57,14,2025-08-14,Entregue,57.64
119,29,11,2026-03-20,Entregue,45.6
120,58,28,2025-05-02,Entregue,55.55
121,64,48,2026-03-11,Entregue,70.28
122,38,26,2025-05-31,Entregue,78.21
123,93,14,2025-12-18,Cancelado,24.55
124,37,22,2026-04-17,Entregue,73.21
125,10,40,2025-10-22,Entregue,34.54
126,18,33,2026-03-06,Entregue,78.78
127,10,22,2026-01-04,Atrasado,37.4
128,16,24,2025-07-29,Cancelado,72.66
129,42,41,2025-10-28,Entregue,36.98
130,11,1,2025-09-14,Entregue,31.18
131,32,12,2026-02-10,Entregue,65.07
132,8,37,2025-07-20,Atrasado,26.41
133,35,50,2025-12-09,Entregue,38.86
134,40,50,2025-12-04,Entregue,23.01
135,31,6,2026-01-30,Entregue,16.0
136,65,45,2026-01-08,Cancelado,24.67
137,27,19,2025-11-25,Entregue,28.07
138,31,9,2026-03-26,Entregue,40.64
139,43,48,2025-07-15,Entregue,26.29
140,19,7,2026-04-18,Entregue,21.64
141,3,24,2026-02-23,Entregue,37.11
142,49,2,2025-11-12,Entregue,21.31
143,47,10,2025-09-15,Entregue,33.59
144,82,25,2026-01-28,Atrasado,44.19
145,2,48,2025-08-02,Entregue,20.64
146,44,12,2025-10-22,Entregue,54.49
147,96,9,2025-07-06,Entregue,38.62
148,89,35,2025-12-03,Entregue,68.8
149,15,20,2025-10-14,Atrasado,62.24
150,49,42,2026-02-04,Entregue,39.58
151,48,31,2025-11-19,Entregue,60.04
152,70,30,2025-08-20,Atrasado,28.72
153,86,31,2025-09-30,Entregue,71.36
154,29,9,2026-03-31,Entregue,76.53
155,99,19,2025-05-30,Atrasado,32.65
156,13,43,2026-04-02,Entregue,47.46
157,30,15,2025-09-19,Entregue,78.27
158,75,11,2025-11-11,Entregue,71.58
159,27,6,2025-10-27,Entregue,21.52
160,74,5,2026-02-17,Atrasado,17.01
161,15,10,2026-01-07,Entregue,50.74
162,5,1,2026-03-01,Atrasado,69.6
163,10,13,2026-04-06,Entregue,65.09
164,66,43,2025-12-10,Entregue,55.13
165,87,46,2025-07-16,Atrasado,74.35
166,34,10,2026-02-23,Entregue,17.71
167,2,35,2025-10-30,Entregue,15.64
168,24,38,2025-09-19,Entregue,49.86
169,67,24,2025-05-12,Entregue,67.54
170,36,13,2026-03-12,Entregue,69.51
171,11,35,2025-12-17,Entregue,31.0
172,38,35,2025-06-15,Entregue,43.19
173,43,5,2025-07-21,Entregue,68.4
174,72,33,2025-09-28,Atrasado,23.5
175,85,36,2026-01-24,Entregue,58.71
176,58,46,2025-07-25,Entregue,26.59
177,45,1,2025-11-03,Entregue,70.94
178,6,26,2025-09-14,Entregue,16.17
179,12,12,2025-10-21,Atrasado,18.92
180,16,11,2025-12-03,Atrasado,49.49
181,42,19,2025-05-05,Entregue,58.38
182,65,32,2025-12-12,Entregue,38.56
183,16,50,2025-06-25,Entregue,17.87
184,5,49,2025-04-29,Atrasado,78.66
185,87,4,2025-11-26,Entregue,55.65
186,27,21,2025-09-01,Entregue,58.69
187,84,33,2025-06-18,Entregue,71.83
188,21,12,2025-07-02,Entregue,18.26
189,6,11,2025-12-13,Entregue,74.63
190,77,6,2026-01-01,Entregue,59.55
191,59,29,2025-07-29,Entregue,66.88
192,57,19,2026-03-20,Entregue,20.6
193,42,32,2026-03-04,Entregue,68.75
194,61,47,2026-03-29,Cancelado,76.16
195,13,25,2025-12-09,Entregue,31.94
196,66,40,2026-02-16,Entregue,19.33
197,91,25,2025-07-18,Entregue,17.92
198,26,8,2026-01-23,Cancelado,16.56
199,15,4,2025-11-11,Entregue,55.76
200,46,6,2025-09-26,Entregue,51.9
201,28,41,2025-08-12,Entregue,77.62
202,30,26,2025-05-31,Entregue,68.77
203,62,11,2025-11-29,Entregue,50.03
204,5,38,2026-03-28,Atrasado,44.24
205,24,44,2025-08-21,Entregue,41.56
206,54,22,2026-01-03,Entregue,63.78
207,48,34,2025-10-24,Atrasado,39.01
208,5,38,2026-02-08,Atrasado,57.41
209,17,10,2025-11-22,Entregue,40.62
210,30,14,2025-07-22,Entregue,19.52
211,5,20,2025-11-26,Entregue,72.89
212,29,48,2025-07-23,Cancelado,48.82
213,17,3,2025-12-12,Entregue,26.26
214,85,28,2025-06-10,Atrasado,74.34
215,35,29,2025-07-04,Entregue,60.35
216,86,15,2025-05-23,Atrasado,46.91
217,84,6,2025-05-11,Atrasado,73.37
218,41,26,2026-04-10,Atrasado,42.46
219,40,36,2025-05-21,Entregue,43.48
220,2,6,2025-07-16,Atrasado,66.1
221,96,42,2026-01-14,Entregue,61.34
222,17,12,2026-03-14,Entregue,51.06
223,40,42,2026-02-12,Entregue,15.87
224,51,29,2026-03-10,Atrasado,61.5
225,3,1,2026-04-13,Entregue,26.07
226,95,16,2025-07-08,Cancelado,58.86
227,94,44,2025-12-02,Entregue,72.25
228,37,14,2026-01-25,Entregue,77.04
229,23,26,2026-01-20,Entregue,49.16
230,64,12,2026-02-05,Entregue,61.67
231,63,12,2025-05-28,Entregue,44.79
232,13,29,2025-10-01,Entregue,75.46
233,63,37,2026-04-21,Cancelado,61.79
234,58,35,2025-11-21,Entregue,17.29
235,63,4,2025-08-28,Entregue,36.86
236,34,11,2025-11-06,Entregue,77.5
237,30,26,2025-09-08,Entregue,19.55
238,79,28,2026-02-16,Entregue,54.94
239,21,13,2025-12-31,Entregue,54.63
240,5,38,2026-01-13,Entregue,19.93
241,70,25,2025-05-04,Entregue,23.49
242,84,4,2025-06-18,Atrasado,61.92
243,29,18,2025-05-27,Atrasado,17.33
244,68,12,2025-10-11,Entregue,35.7
245,70,14,2025-06-15,Entregue,71.08
246,18,50,2026-03-22,Atrasado,78.86
247,6,27,2025-07-20,Entregue,64.83
248,55,6,2026-03-17,Entregue,46.07
249,57,5,2026-03-26,Entregue,78.63
250,1,8,2025-04-28,Entregue,79.19
251,67,49,2026-03-02,Entregue,55.65
252,84,24,2025-08-07,Atrasado,29.13
253,94,29,2025-05-28,Entregue,59.79
254,9,13,2025-11-07,Entregue,69.79
255,66,33,2025-08-06,Entregue,76.48
256,13,11,2025-11-08,Entregue,32.98
257,78,47,2026-03-15,Cancelado,23.9
258,92,42,2025-09-24,Entregue,59.1
259,65,3,2026-01-26,Entregue,65.01
260,87,25,2025-05-19,Entregue,37.31
261,66,13,2025-11-03,Atrasado,79.37
262,1,28,2025-08-29,Atrasado,78.43
263,66,42,2025-05-08,Entregue,35.81
264,92,44,2025-10-02,Atrasado,20.62
265,53,46,2025-12-21,Atrasado,15.75
266,4,47,2025-10-29,Atrasado,36.03
267,93,39,2026-01-12,Atrasado,29.05
268,98,36,2025-08-17,Entregue,33.77
269,26,16,2026-02-04,Entregue,45.76
270,73,31,2025-12-23,Entregue,15.2
